name,diagnostic_metrics
Haemochromatosis Gene Detected - At Risk of Iron Overload,"C282Y Mutation,H63D Mutation"
Likely Past History of Cleared Hepatitis B,Hep B core Total Antibody
Likely Reduced Vitamin B12,Holo-transcobalamin
Dust Mite Allergy,Dustmite
Alternaria Alternata Mould Allergy,Alternaria alternata
Rye Grass Allergy,Perennial rye grass
Possible Muscle Breakdown,Creatine kinase
Possible Pancreas Inflammation,Lipase
Increased Risk of Autoimmune Condition,"EIA Antigen,Endomysial Antibodies,Extractable Nuclear Antigens,Antinuclear Antibody"
Possible HIV Infection,HIV Antibodies
Low Vitamin D,"""1,25 Dihydroxycalciferol"""
Possible Syphilis Infection,Syphilis Ab
Immunity To Rubella Not Detected,Rubella IgG
Immunity To Chicken Pox Not Detected,Varicella zoster IgG
Increase Abdominal Arterial Aneurysm Risk,Abdominal Aorta Imaging
Anatomical Abnormality of Pancreas,Pancreas Imaging
Anatomical Abnormality of Liver,Liver Imaging
Anatomical Abnormality of Spleen,Spleen Imaging
Anatomical Abnormality of Gallbladder,Gall Bladder Imaging
Anatomical Abnormality of Kidneys,Kidneys Imaging
Reduced Flexibility,"Active Straight-Leg Raise Right (FMS),Active Straight-Leg Raise Left (FMS),Stand & Reach Test"
Suboptimal Features on Advanced Muscle Strength and Stability Assessment,"Squat 5RM (85%),Overhead Press 5RM (85%),Bench 5RM (85%),Deadlift 5RM (85%)"
Increased Risk of Liver Cancer,Alpha Fetoprotein
Increased Risk of Rheumatoid Arthritis,"Anti-CCP Antibodies,Rheumatoid Factor (RF)"
Increased Risk of Coeliac Disease,"Anti-deamidated Gliadin Antibody,Iga Anti-tissue Transglutaminase"
Increased Atherosclerotic Disease Risk Due to Suboptimal Lipid Profile,"Apolipoprotein B,LDL Cholesterol,Lipoprotein (a)"
Reduced Aerobic Capacity,Astrand Treadmill Test
Increased Cardiovascular Disease Risk,Australian Cardiovascular Disease 5 Year Risk Forecast
Abnormal Beta-HCG Levels,Beta-HCG (Female)
Suboptimal Diastolic Blood Pressure,Blood Pressure Profile (Diastolic)
Suboptimal Systolic Blood Pressure,Blood Pressure Profile (Systolic)
Suboptimal Bone Density,"Right Femoral Neck Density,Left Femoral Neck Density,Lumbar Spine Density,Right Femoral Neck Density Standardised Comparison,Left Femoral Neck Density Standardised Comparison,Lumbar Spine Density Standardised Comparison"
