name,diagnostics,diagnostic_metrics
Core Biometric Measurements,Core Biometric Measurements,"Waist Circumference,Height,Weight"
Breathing and Lung Function,Breathing and Lung Function,"FEV1,FVC,FEF-25-75,FEF75,FEV1 Standardised Comparison,FVC Standardised Comparison,FEF-25-75 Standardised Comparison,FEF75 Standardised Comparison,FEV1 % Predicted,FVC % Predicted,FEF-25-75 % Predicted,FEF75 % Predicted"
Blood Pressure Profile,Blood Pressure Profile,"Blood Pressure Profile (Diastolic),Blood Pressure Profile (Systolic)"
Basic Aerobic Capacity,Astrand Treadmill Test,Astrand Treadmill Test
Baseline Physical Assessment,"Plank Hold Assessment (Core Strength),Grip Strength Assessment,Single Leg Squat,Inline Lunge Test,Deep Squat Assessment,Trunk Stability Push-Up Test","Plank Time,Dynamometer Grip Strength (Left),Dynamometer Grip Strength (Right),Single Leg Squat (Left) (30s),Single Leg Squat (Right) (30s),Walking Lunge (30s),Bodyweight Deep Squat (30s),Push Ups (30s)"
Beginner Physical Assessment,,
Advanced Physical Assessment,"Advanced Muscle Strength and Stability Assessment,Multifocal Combination Assessment","Squat 5RM (85%),Deadlift 5RM (85%),Bench 5RM (85%),Overhead Press 5RM (85%),Max Pull Ups (30s),Max Tuck Jumps (30s),Farmer's Carry (50% BW)"
Upper Abdominal Ultrasound,Abdominal Organ Ultrasound Screening,"Gall Bladder Imaging,Pancreas Imaging,Kidneys Imaging,Spleen Imaging,Abdominal Aorta Imaging,Liver Imaging"
MRI Pelvis/Prostate,Pelvic (Prostate) MRI,Pelvic (Prostate) MRI
Thyroid Ultrasound,Thyroid Ultrasound,Thyroid Ultrasound
CT coronary angiogram (CTCA),CT coronary angiogram (CTCA),"Coronary Artery Findings,Non Cardiac Findings,Noncoronary Cardiac Findings"
non-con screening MRI Brain,Brain MRI,Brain MRI
Non-con CT chest (everlab™ ultra-low dose protocol),CT chest (everlab™ ultra-low dose protocol),CT chest (everlab™ ultra-low dose protocol)
Fibroscan,Liver Stiffness Fibroscan,"Median Liver Stiffness,Controlled Attenuated Parameter (CAP),IQR/Med Ratio"
non-con screening MRI Spine,Spine MRI,Spine MRI
Renal Tract Ultrasound,Renal Tract Ultrasound,Renal Tract Ultrasound
CT Coronary Calcium Score,CT Coronary Calcium Score,CT Coronary Calcium Score
Scrotal Ultrasound,Scrotal Ultrasound,Scrotal Ultrasound
Exercise Stress Echocardiogram (ESE),Exercise Stress Echocardiogram (ESE),Exercise Stress Echocardiogram (ESE)
