name,oru_sonic_codes,diagnostic,diagnostic_groups,oru_sonic_units,units,min_age,max_age,gender,standard_lower,standard_higher,everlab_lower,everlab_higher
Total Serum IgG,S IgG:,,,g/L,g/L,0,200,Any,7,16,6.36,17.78
Alpha 1 Globulin,Alpha 1 Globulin,,,g/L,g/L,0,200,Any,2.2,4.1,2,4.56
Alpha 2 Globulin,Alpha 2 Globulin,,,g/L,g/L,0,200,Any,4.9,8.7,4.45,9.67
Beta 1 Globulin,Beta 1 Globulin,,,g/L,g/L,0,200,Any,3.4,5.8,3.09,6.44
Beta 2 Globulin,Beta 2 Globulin,,,g/L,g/L,0,200,Any,2.1,4.9,1.91,5.44
C282Y Mutation,C282Y Mutation,,,,,0,200,Any,,,,
Gamma Globulin,Gamma Globulin,,,g/L,g/L,0,200,Any,7,16,6.36,17.78
H63D Mutation,H63D Mutation,,,,,0,200,Any,,,,
Hep B core Total Antibody,Hep B core Total Antibody,,,,,0,200,Any,,,,
Holo-transcobalamin,Holo-transcobalamin:,,,pmol/L,pmol/L,0,200,Any,37,,37,
Total Serum IgA,S IgA:,,,g/L,g/L,0,200,Any,0.7,4,0.64,4.44
Total Serum IgM,S IgM:,,,g/L,g/L,0,200,Any,0.4,3,0.36,3.33
Abdominal Aorta Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Pancreas Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Liver Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Spleen Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Gall Bladder Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Kidneys Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Active Straight-Leg Raise Right (FMS),,Active Straight-Leg Raise Test,,,/3,,,Any,,,,
Active Straight-Leg Raise Left (FMS),,Active Straight-Leg Raise Test,,,/3,,,Any,,,,
Squat 5RM (85%),,Advanced Muscle Strength and Stability Assessment,Advanced Physical Assessment,,kg,,,Any,,,,
Overhead Press 5RM (85%),,Advanced Muscle Strength and Stability Assessment,Advanced Physical Assessment,,kg,,,Any,,,,
Bench 5RM (85%),,Advanced Muscle Strength and Stability Assessment,Advanced Physical Assessment,,kg,,,Any,,,,
